Date,Open,High,Low,Close
2021-02-26,1.21148,1.22432,1.206,1.20704
2021-02-19,1.21239,1.21695,1.2021,1.21167
2021-02-12,1.20375,1.21495,1.2018,1.21177
2021-02-05,1.21285,1.21365,1.1951,1.2043
2021-01-29,1.21672,1.21833,1.2057,1.21362
2021-01-22,1.20823,1.21896,1.2052,1.21702
2021-01-15,1.2216,1.22284,1.2072,1.20749
2021-01-08,1.22386,1.23495,1.2191,1.22193
2021-01-01,1.21832,1.23101,1.21794,1.22138
2020-12-25,1.22196,1.22571,1.2128,1.21832
2020-12-18,1.21345,1.22728,1.2114,1.2255
2020-12-11,1.213,1.21663,1.2057,1.21121
2020-12-04,1.19608,1.21775,1.1922,1.21202
2020-11-27,1.18521,1.19641,1.1799,1.1962
2020-11-20,1.18394,1.1894,1.1812,1.18544
2020-11-13,1.18881,1.192,1.1744,1.1835
2020-11-06,1.16474,1.1891,1.1602,1.18716
2020-10-30,1.18554,1.18597,1.1638,1.16459
2020-10-23,1.17177,1.18807,1.1701,1.1859
2020-10-16,1.18137,1.18268,1.1687,1.17158
2020-10-09,1.17116,1.1831,1.17077,1.1826
2020-10-02,1.16265,1.17696,1.1613,1.1716
2020-09-25,1.18411,1.18719,1.1611,1.163
2020-09-18,1.1835,1.19005,1.1736,1.1839
2020-09-11,1.18386,1.19175,1.1751,1.18453
2020-09-04,1.19084,1.20114,1.1779,1.18389
2020-08-28,1.1801,1.19197,1.1761,1.19008
2020-08-21,1.18416,1.19656,1.1753,1.17958
2020-08-14,1.1776,1.18642,1.1709,1.18408
2020-08-07,1.17944,1.19162,1.1694,1.1787
2020-07-31,1.16526,1.19088,1.1641,1.1771
2020-07-24,1.14355,1.16581,1.1401,1.1656
2020-07-17,1.13155,1.1452,1.1299,1.14253
2020-07-10,1.12439,1.13706,1.1243,1.12961
2020-07-03,1.12242,1.13027,1.1184,1.12464
2020-06-26,1.11798,1.13486,1.1167,1.12176
2020-06-19,1.12467,1.13534,1.1166,1.1176
2020-06-12,1.13011,1.14225,1.1211,1.12601
2020-06-05,1.1111,1.1384,1.1099,1.12873
2020-05-29,1.09037,1.11452,1.0869,1.11069
2020-05-22,1.08205,1.10085,1.0798,1.09
2020-05-15,1.08346,1.08965,1.0773,1.08179
2020-05-08,1.09564,1.09625,1.0764,1.08379
2020-05-01,1.0817,1.1019,1.0808,1.09798
2020-04-24,1.08677,1.08969,1.0725,1.08242
2020-04-17,1.09366,1.09908,1.081,1.08735
2020-04-10,1.08175,1.09527,1.0767,1.09317
2020-04-03,1.11098,1.11444,1.0771,1.08124
2020-03-27,1.06586,1.11473,1.0656,1.114
2020-03-20,1.1157,1.12367,1.0636,1.06929
2020-03-13,1.13868,1.14961,1.1053,1.1105
2020-03-06,1.1046,1.13548,1.1035,1.1285
2020-02-28,1.08298,1.10531,1.0804,1.10289
2020-02-21,1.08382,1.08635,1.0777,1.08471
2020-02-14,1.09436,1.09575,1.0826,1.08301
